Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/1/2015 0:00:00,2/1/2015 1:00:00,2/1/2015 5:00:00,2/1/2015,5,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-27.99,627.0757274,,857.13,73.16%,,132.5049056,,,33.57,2.53,3.670496,0.860708
2/1/2015 1:00:00,2/1/2015 2:00:00,2/1/2015 6:00:00,2/1/2015,6,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-28.49,656.9346421,,890.84,73.74%,,92.38933792,,,28.41,6.01,2.684176,0.86757
2/1/2015 2:00:00,2/1/2015 3:00:00,2/1/2015 7:00:00,2/1/2015,7,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,884.407809,,"1,084.21",81.57%,,96.49331584,,,43.3,5.52,1.976512,0.959669
2/1/2015 3:00:00,2/1/2015 4:00:00,2/1/2015 8:00:00,2/1/2015,8,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-2.0000,-51.34,407.3268738,,504.54,80.73%,,41.47315898,,,17.22,4.12,1.943447,0.949792
2/1/2015 4:00:00,2/1/2015 5:00:00,2/1/2015 9:00:00,2/1/2015,9,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,449.0983593,,569.82,78.81%,,83.7493265,,,17.91,2.59,4.085333,0.927224
2/1/2015 5:00:00,2/1/2015 6:00:00,2/1/2015 10:00:00,2/1/2015,10,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,674.0509601,,821.17,82.08%,,67.90527439,,,19.76,9.03,2.358641,0.965696
2/1/2015 6:00:00,2/1/2015 7:00:00,2/1/2015 11:00:00,2/1/2015,11,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-26.33,858.0346226,,"1,062.46",80.76%,,128.16134862,,,42.96,3.7,2.746707,0.950112
2/1/2015 7:00:00,2/1/2015 8:00:00,2/1/2015 12:00:00,2/1/2015,12,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-26.74,773.969946,,992.81,77.96%,,85.3202102,,,37.34,6.29,1.95554,0.91715
2/1/2015 8:00:00,2/1/2015 9:00:00,2/1/2015 13:00:00,2/1/2015,13,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-25.91,1601.268555,,"1,961.80",81.62%,,301.05771745,,,89.39,2.66,3.270589,0.960266
2/1/2015 9:00:00,2/1/2015 10:00:00,2/1/2015 14:00:00,2/1/2015,14,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,441.7887879,,536.59,82.33%,,50.8198323,,,23.84,1.49,2.00631,0.968623
2/1/2015 10:00:00,2/1/2015 11:00:00,2/1/2015 15:00:00,2/1/2015,15,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-28.35,1202.011935,,"1,507.73",79.72%,,153.66657,,,55.5,8.25,2.410456,0.937924
