Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable," MW
Online","Bid Amount
","PJM II
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"PJM II
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/1/2015 0:00:00,2/1/2015 1:00:00,2/1/2015 5:00:00,2/1/2015,5,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,68.46456975,,85.71270976,79.88%,,132.5049056,,,33.57,2.53,3.670496,0.798768
2/1/2015 1:00:00,2/1/2015 2:00:00,2/1/2015 6:00:00,2/1/2015,6,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,86.94266649,,89.08379552,97.60%,,92.38933792,,,28.41,6.01,2.684176,0.975965
2/1/2015 2:00:00,2/1/2015 3:00:00,2/1/2015 7:00:00,2/1/2015,7,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,105.5125242,,108.42069248,97.32%,,96.49331584,,,43.3,5.52,1.976512,0.973177
2/1/2015 3:00:00,2/1/2015 4:00:00,2/1/2015 8:00:00,2/1/2015,8,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,48.84149334,,50.45400328,96.80%,,41.47315898,,,17.22,4.12,1.943447,0.96804
2/1/2015 4:00:00,2/1/2015 5:00:00,2/1/2015 9:00:00,2/1/2015,9,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,55.70659628,,56.98202494,97.76%,,83.7493265,,,17.91,2.59,4.085333,0.977617
2/1/2015 5:00:00,2/1/2015 6:00:00,2/1/2015 10:00:00,2/1/2015,10,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,79.42131773,,82.11705646,96.72%,,67.90527439,,,19.76,9.03,2.358641,0.967172
2/1/2015 6:00:00,2/1/2015 7:00:00,2/1/2015 11:00:00,2/1/2015,11,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,102.2178599,,106.2456318,96.21%,,128.16134862,,,42.96,3.7,2.746707,0.96209
2/1/2015 7:00:00,2/1/2015 8:00:00,2/1/2015 12:00:00,2/1/2015,12,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,92.53327945,,99.2806932,93.20%,,85.3202102,,,37.34,6.29,1.95554,0.932037
2/1/2015 8:00:00,2/1/2015 9:00:00,2/1/2015 13:00:00,2/1/2015,13,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,180.3188106,,196.17953348,91.92%,,301.05771745,,,89.39,2.66,3.270589,0.919152
2/1/2015 9:00:00,2/1/2015 10:00:00,2/1/2015 14:00:00,2/1/2015,14,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,50.58994949,,53.6588038,94.28%,,50.8198323,,,23.84,1.49,2.00631,0.942808
2/1/2015 10:00:00,2/1/2015 11:00:00,2/1/2015 15:00:00,2/1/2015,15,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,142.4538008,,150.772524,94.48%,,153.66657,,,55.5,8.25,2.410456,0.944826
2/1/2015 11:00:00,2/1/2015 12:00:00,2/1/2015 16:00:00,2/1/2015,16,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,53.68209206,,57.61364736,93.18%,,55.75038848,,,18.95,4.07,2.421824,0.93176
2/1/2015 12:00:00,2/1/2015 13:00:00,2/1/2015 17:00:00,2/1/2015,17,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,64.03062686,,68.07756584,94.06%,,57.9023224,,,17.38,7.02,2.373046,0.940554
2/1/2015 13:00:00,2/1/2015 14:00:00,2/1/2015 18:00:00,2/1/2015,18,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,56.12035238,,61.12376,91.81%,,52.946502,,,22.6,4,1.99047,0.918143
2/1/2015 14:00:00,2/1/2015 15:00:00,2/1/2015 19:00:00,2/1/2015,19,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,79.30951684,,82.30304312,96.36%,,64.02212755,,,23.07,9.08,1.991357,0.963628
2/1/2015 15:00:00,2/1/2015 16:00:00,2/1/2015 20:00:00,2/1/2015,20,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,63.80233313,,67.2801802,94.83%,,68.27446805,,,21.93,4.54,2.579315,0.948308
2/1/2015 16:00:00,2/1/2015 17:00:00,2/1/2015 21:00:00,2/1/2015,21,PJMIIsched:2000,2,2,,,,,,,,2,-1.0000,-29.34,67.28791816,,70.64726632,95.24%,,52.03803284,,,17.04,9.23,1.980892,0.952449
2/1/2015 17:00:00,2/1/2015 18:00:00,2/1/2015 22:00:00,2/1/2015,22,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,84.68741328,,88.48029822,95.71%,,66.54012198,,,30.77,7.81,1.724731,0.957133
2/1/2015 18:00:00,2/1/2015 19:00:00,2/1/2015 23:00:00,2/1/2015,23,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,59.46015658,,62.04863968,95.83%,,107.1128726,,,27.06,1.04,3.811846,0.958283
2/1/2015 19:00:00,2/1/2015 20:00:00,2/2/2015 0:00:00,2/2/2015,0,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,52.51893028,,54.01165026,97.24%,,92.19610707,,,23.58,0.91,3.764643,0.972363
2/1/2015 20:00:00,2/1/2015 21:00:00,2/2/2015 1:00:00,2/2/2015,1,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,51.36293942,,54.58567784,94.10%,,41.4148762,,,15.32,6.23,1.921804,0.94096
2/1/2015 21:00:00,2/1/2015 22:00:00,2/2/2015 2:00:00,2/2/2015,2,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,80.50808753,,87.0464982,92.49%,,97.00970685,,,22.55,6.22,3.371905,0.924886
2/1/2015 22:00:00,2/1/2015 23:00:00,2/2/2015 3:00:00,2/2/2015,3,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,53.9392361,,62.24703688,86.65%,,49.62385472,,,20.76,5.48,1.891153,0.866535
2/1/2015 23:00:00,2/2/2015 0:00:00,2/2/2015 4:00:00,2/2/2015,4,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,71.19002722,,73.5036274,96.85%,,73.60956155,,,18.83,6.06,2.957395,0.968524
2/2/2015 0:00:00,2/2/2015 1:00:00,2/2/2015 5:00:00,2/2/2015,5,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,67.48902251,,69.93434688,96.50%,,51.25663908,,,17.22,9.12,1.945962,0.965034
2/2/2015 1:00:00,2/2/2015 2:00:00,2/2/2015 6:00:00,2/2/2015,6,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,46.3964182,,49.072592,94.55%,,32.50813867,,,10.41,8,1.765787,0.945465
2/2/2015 2:00:00,2/2/2015 3:00:00,2/2/2015 7:00:00,2/2/2015,7,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,29.74279394,,31.4242755,94.65%,,18.72353235,,,8.28,5.45,1.363695,0.946491
2/2/2015 3:00:00,2/2/2015 4:00:00,2/2/2015 8:00:00,2/2/2015,8,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,37.95068489,,39.4410436,96.22%,,48.80059464,,,18.83,0.35,2.544348,0.962213
2/2/2015 4:00:00,2/2/2015 5:00:00,2/2/2015 9:00:00,2/2/2015,9,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,28.50226265,,30.75905448,92.66%,,26.17834534,,,7.9,3.16,2.366939,0.92663
2/2/2015 5:00:00,2/2/2015 6:00:00,2/2/2015 10:00:00,2/2/2015,10,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,60.13168757,,63.18464316,95.17%,,59.06448708,,,19.5,5.02,2.408829,0.951682
2/2/2015 6:00:00,2/2/2015 7:00:00,2/2/2015 11:00:00,2/2/2015,11,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,43.71964074,,45.6128,95.85%,,41.992812,,,12.82,4,2.4966,0.958495
2/2/2015 7:00:00,2/2/2015 8:00:00,2/2/2015 12:00:00,2/2/2015,12,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,32.89063074,,34.66638146,94.88%,,27.95480264,,,6.37,4.11,2.667443,0.948776
2/2/2015 8:00:00,2/2/2015 9:00:00,2/2/2015 13:00:00,2/2/2015,13,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,28.8900795,,31.52311034,91.65%,,23.1154972,,,8.51,3.89,1.864153,0.916473
2/2/2015 9:00:00,2/2/2015 10:00:00,2/2/2015 14:00:00,2/2/2015,14,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,26.75201871,,28.37170246,94.29%,,22.15512896,,,7.69,3.19,2.036317,0.942912
2/2/2015 10:00:00,2/2/2015 11:00:00,2/2/2015 15:00:00,2/2/2015,15,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,14.18612641,,14.85579598,95.49%,,19.62191867,,,7.24,0.07,2.684257,0.954922
2/2/2015 11:00:00,2/2/2015 12:00:00,2/2/2015 16:00:00,2/2/2015,16,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,71.08050691,,73.17168036,97.14%,,97.92632472,,,29.17,2.39,3.102862,0.971421
2/2/2015 12:00:00,2/2/2015 13:00:00,2/2/2015 17:00:00,2/2/2015,17,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,59.04273266,,61.64945664,95.77%,,59.75167644,,,20.37,4.32,2.420076,0.957717
2/2/2015 13:00:00,2/2/2015 14:00:00,2/2/2015 18:00:00,2/2/2015,18,PJMIIsched:2000,2,2,,,,,,,,2,0.0000,0,87.39556904,,92.8757984,94.10%,,72.7774785,,,34.27,6.88,1.76859,0.940994
