Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,Mango Readable,Mango Readable,Mango Readable,Mango Readable,"MW
Online",Bid Amount,"Laurel Mountain
MW Out Unplanned","Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
1/1/2015 0:00:00,1/1/2015 1:00:00,1/1/2015 5:00:00,1/1/2015,5,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-55.48,327.7964855,,345.83,94.79%,,30.0806472,,,10.61,0.07,2.81654,0.947857
1/1/2015 1:00:00,1/1/2015 2:00:00,1/1/2015 6:00:00,1/1/2015,6,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-27.8,268.9906973,,282.60,95.18%,,17.19125868,,,7.66,0.56,2.091394,0.95185
1/1/2015 2:00:00,1/1/2015 3:00:00,1/1/2015 7:00:00,1/1/2015,7,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-54.32,128.1095587,,137.28,93.32%,,16.34099181,,,4.29,0,3.809089,0.933199
1/1/2015 3:00:00,1/1/2015 4:00:00,1/1/2015 8:00:00,1/1/2015,8,LMsched:32000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:32000,30,32,2,,M06E10 disabled,32,-1,-26.91,121.986359,,128.96,94.59%,,7.50916751,,,4.03,0,1.863317,0.945924
1/1/2015 4:00:00,1/1/2015 5:00:00,1/1/2015 9:00:00,1/1/2015,9,LMsched:32000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:32000,30,32,2,,M06E10 disabled,32,-1,-26.07,104.9226592,,115.84,90.58%,,14.5918942,,,3.62,0,4.03091,0.905755
1/1/2015 5:00:00,1/1/2015 6:00:00,1/1/2015 10:00:00,1/1/2015,10,LMsched:30000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:30000,30,30,2,,M06E10 disabled,30,-1,-25.12,324.98881,,401.68,80.91%,,52.62569487,,,12.34,0.05,4.247433,0.863021
1/1/2015 6:00:00,1/1/2015 7:00:00,1/1/2015 11:00:00,1/1/2015,11,LMsched:30000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:30000,30,30,2,,M06E10 disabled,30,0,0,289.7197225,,331.08,87.51%,,40.059837,,,10.15,0.05,3.927435,0.933402
1/1/2015 7:00:00,1/1/2015 8:00:00,1/1/2015 12:00:00,1/1/2015,12,LMsched:30000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:30000,30,30,2,,M06E10 disabled,30,0,0,280.2884868,,329.28,85.12%,,29.23212012,,,10.29,0,2.840828,0.907964
1/1/2015 8:00:00,1/1/2015 9:00:00,1/1/2015 13:00:00,1/1/2015,13,LMsched:30000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:30000,30,30,2,,M06E10 disabled,30,-2,-53.12,272.5849412,,305.83,89.13%,,55.51442208,,,9.32,0.04,5.931028,0.95071
1/1/2015 9:00:00,1/1/2015 10:00:00,1/1/2015 14:00:00,1/1/2015,14,LMsched:30000,LMbid:30000,LMUnscheduled:2000,LMPlanned:0,LMSettled:30000,30,30,2,,M06E10 disabled,30,-1,-25.46,323.9376796,,364.38,88.90%,,36.91398375,,,11.19,0.06,3.281243,0.948278
1/1/2015 10:00:00,1/1/2015 11:00:00,1/1/2015 15:00:00,1/1/2015,15,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-24.74,289.8831972,,327.19,88.60%,,39.27600432,,,10.03,0.05,3.896429,0.945031
1/1/2015 11:00:00,1/1/2015 12:00:00,1/1/2015 16:00:00,1/1/2015,16,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-24.16,369.7024813,,410.63,90.03%,,24.62735736,,,12.6,0.12,1.936113,0.960341
1/1/2015 12:00:00,1/1/2015 13:00:00,1/1/2015 17:00:00,1/1/2015,17,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-46.74,303.6903308,,335.71,90.46%,,35.42608733,,,10.32,0.05,3.416209,0.904632
1/1/2015 13:00:00,1/1/2015 14:00:00,1/1/2015 18:00:00,1/1/2015,18,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,358.1624269,,376.27,95.19%,,31.34292324,,,11.57,0.07,2.692691,0.951872
1/1/2015 14:00:00,1/1/2015 15:00:00,1/1/2015 19:00:00,1/1/2015,19,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,628.7866502,,663.69,94.74%,,39.2063884,,,11.92,3.46,2.54918,0.947417
1/1/2015 15:00:00,1/1/2015 16:00:00,1/1/2015 20:00:00,1/1/2015,20,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-37.28,618.6664888,,649.73,95.22%,,37.864141,,,12.99,3.11,2.35181,0.952187
1/1/2015 16:00:00,1/1/2015 17:00:00,1/1/2015 21:00:00,1/1/2015,21,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,227.0199232,,236.80,95.87%,,14.6811708,,,7.4,0,1.983942,0.958699
1/1/2015 17:00:00,1/1/2015 18:00:00,1/1/2015 22:00:00,1/1/2015,22,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-93.78,105.6626314,,137.28,76.97%,,12.0844152,,,4.29,0,2.81688,0.769687
1/1/2015 18:00:00,1/1/2015 19:00:00,1/1/2015 23:00:00,1/1/2015,23,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,2,49.94,194.8780288,,225.73,86.33%,,25.7844375,,,3.96,0.54,5.729875,0.863315
1/1/2015 19:00:00,1/1/2015 20:00:00,1/2/2015 0:00:00,1/2/2015,0,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-52.46,178.0737532,,186.79,95.34%,,9.42250928,,,2.75,1.34,2.303792,0.953354
1/1/2015 20:00:00,1/1/2015 21:00:00,1/2/2015 1:00:00,1/2/2015,1,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-52.5,419.3766083,,445.84,94.06%,,27.25012342,,,8.73,2.06,2.525498,0.940642
1/1/2015 21:00:00,1/1/2015 22:00:00,1/2/2015 2:00:00,1/2/2015,2,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-50.04,375.2013657,,393.09,95.45%,,55.69801212,,,7.42,0.71,6.850924,0.954485
1/1/2015 22:00:00,1/1/2015 23:00:00,1/2/2015 3:00:00,1/2/2015,3,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,1,23.73,309.3742411,,323.35,95.68%,,20.52635585,,,9.92,0.09,2.050585,0.956791
1/1/2015 23:00:00,1/2/2015 0:00:00,1/2/2015 4:00:00,1/2/2015,4,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-46.36,239.5774019,,254.08,94.29%,,17.04605914,,,7.7,0.11,2.182594,0.942911
1/2/2015 0:00:00,1/2/2015 1:00:00,1/2/2015 5:00:00,1/2/2015,5,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-44.62,193.1429689,,202.98,95.16%,,9.31701466,,,6.09,0.17,1.488341,0.951553
1/2/2015 1:00:00,1/2/2015 2:00:00,1/2/2015 6:00:00,1/2/2015,6,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,bad reg scores d/t mdu issue,32,0,0,264.3290196,,313.99,84.19%,,17.85260736,,,9.61,0.11,1.836688,0.841852
1/2/2015 2:00:00,1/2/2015 3:00:00,1/2/2015 7:00:00,1/2/2015,7,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,bad reg scores d/t mdu issue,32,-1,-22.33,103.7387569,,239.52,43.31%,,11.38059663,,,7.27,0.14,1.535843,0.43311
1/2/2015 3:00:00,1/2/2015 4:00:00,1/2/2015 8:00:00,1/2/2015,8,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,bad reg scores d/t mdu issue,32,-1,-22.34,190.1278106,,225.04,84.49%,,12.77658858,,,6.83,0.11,1.841007,0.844861
1/2/2015 4:00:00,1/2/2015 5:00:00,1/2/2015 9:00:00,1/2/2015,9,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:0,32,32,,,deassigned d/t mdu issue,0,0,0,262.6786561,,283.43,92.68%,,16.61728334,,,8.61,0.13,1.901291,0.926787
1/2/2015 5:00:00,1/2/2015 6:00:00,1/2/2015 10:00:00,1/2/2015,10,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-48.74,392.7909435,,414.42,94.78%,,22.57755665,,,5.65,2.7,2.703899,0.947816
1/2/2015 6:00:00,1/2/2015 7:00:00,1/2/2015 11:00:00,1/2/2015,11,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-25.08,0,,144.91,0.00%,,7.353358,,,4.33,0.12,1.65244,0.958003
1/2/2015 7:00:00,1/2/2015 8:00:00,1/2/2015 12:00:00,1/2/2015,12,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-25.77,16.9925504,,17.92,94.82%,,0.9872968,,,0.56,0,1.76303,0.948245
1/2/2015 8:00:00,1/2/2015 9:00:00,1/2/2015 13:00:00,1/2/2015,13,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-26.09,16.89942016,,17.92,94.30%,,1.24061056,,,0.56,0,2.215376,0.943048
1/2/2015 9:00:00,1/2/2015 10:00:00,1/2/2015 14:00:00,1/2/2015,14,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-26.01,16.90900736,,17.92,94.36%,,1.18884024,,,0.56,0,2.122929,0.943583
1/2/2015 10:00:00,1/2/2015 11:00:00,1/2/2015 15:00:00,1/2/2015,15,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-26.8,268.5436167,,288.68,93.03%,,18.69979,,,8.79,0.11,2.1011,0.93026
1/2/2015 11:00:00,1/2/2015 12:00:00,1/2/2015 16:00:00,1/2/2015,16,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-26.58,477.2210734,,498.46,95.74%,,22.80378555,,,6.4,4.31,2.129205,0.957391
1/2/2015 12:00:00,1/2/2015 13:00:00,1/2/2015 17:00:00,1/2/2015,17,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-26.16,603.7041758,,637.46,94.70%,,62.27495154,,,12.08,1.74,4.506147,0.947043
1/2/2015 13:00:00,1/2/2015 14:00:00,1/2/2015 18:00:00,1/2/2015,18,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-77.34,133.854524,,236.55,56.59%,,24.43642225,,,7.19,0.06,3.370541,0.565858
1/2/2015 14:00:00,1/2/2015 15:00:00,1/2/2015 19:00:00,1/2/2015,19,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,1,25.74,346.745618,,464.10,74.71%,,22.60279444,,,5.29,3.64,2.531108,0.74713
1/2/2015 15:00:00,1/2/2015 16:00:00,1/2/2015 20:00:00,1/2/2015,20,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,354.2894235,,413.98,85.58%,,23.8295731,,,6.67,2.38,2.633102,0.855819
1/2/2015 16:00:00,1/2/2015 17:00:00,1/2/2015 21:00:00,1/2/2015,21,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-81.45,183.4120099,,195.03,94.04%,,15.484128,,,5.94,0.06,2.580688,0.940406
