Datetime EST HB,Datetime GMT HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,Mango Readable,Mango Readable,Mango Readable,Mango Readable,"MW
Online",Bid Amount,"Laurel Mountain
MW Out Unplanned","Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
1/1/2014 0:00:00,1/1/2014 1:00:00,1/1/2014 5:00:00,1/1/2014,5,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-2,-46.98,945.2540946,,973.42,97.11%,,60.87401692,,,27.91,1.2,2.091172,0.971064
1/1/2014 1:00:00,1/1/2014 2:00:00,1/1/2014 6:00:00,1/1/2014,6,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-2,-48.5,407.5436936,,423.80,96.16%,,32.08245735,,,10.09,1.1,2.867065,0.96164
1/1/2014 2:00:00,1/1/2014 3:00:00,1/1/2014 7:00:00,1/1/2014,7,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-1,-28.97,241.3682451,,252.11,95.74%,,11.66554515,,,6.45,0.9,1.587149,0.957393
1/1/2014 3:00:00,1/1/2014 4:00:00,1/1/2014 8:00:00,1/1/2014,8,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,0,0,610.7415121,,628.07,97.24%,,31.66963772,,,17.5,1.26,1.688147,0.972416
1/1/2014 4:00:00,1/1/2014 5:00:00,1/1/2014 9:00:00,1/1/2014,9,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-2,-55.3,618.1415032,,640.86,96.45%,,39.06680877,,,17.68,1.13,2.076917,0.964548
1/1/2014 5:00:00,1/1/2014 6:00:00,1/1/2014 10:00:00,1/1/2014,10,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-2,-58.88,555.0775255,,573.24,96.83%,,44.00600235,,,14.98,1.07,2.741807,0.968317
1/1/2014 6:00:00,1/1/2014 7:00:00,1/1/2014 11:00:00,1/1/2014,11,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,0,0,488.0146454,,501.97,97.22%,,32.1224577,,,11.03,1.87,2.490113,0.972202
1/1/2014 7:00:00,1/1/2014 8:00:00,1/1/2014 12:00:00,1/1/2014,12,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-1,-29.77,544.1359309,,560.58,97.07%,,41.89327448,,,10.58,2.1,3.303886,0.970664
1/1/2014 8:00:00,1/1/2014 9:00:00,1/1/2014 13:00:00,1/1/2014,13,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-1,-29.71,800.8915371,,831.44,96.33%,,35.28243264,,,5.09,7.39,2.827118,0.963262
1/1/2014 9:00:00,1/1/2014 10:00:00,1/1/2014 14:00:00,1/1/2014,14,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,0,0,,32,-2,-59.76,504.6585069,,531.77,94.90%,,32.75589132,,,11.06,2.26,2.459151,0.949024
