,,Datetime GMT HB,Date GMT,HB GMT,Mango Readable," MW
Online","Bid Amount
","Laurel Mountain
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
4/30/2013 23:00:00,5/1/2013 0:00:00,5/1/2013 4:00:00,5/1/2013,4,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-2.0000,-$54.56,$300.62,,323.20,93.01%,9/30/2013,$10.1,,,$8.09,$2.01,1,0.93
5/1/2013 0:00:00,5/1/2013 1:00:00,5/1/2013 5:00:00,5/1/2013,5,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-3.0000,-$79.83,$518.05,,539.20,96.08%,,$16.85,,,$14.72,$2.13,1,0.96
5/1/2013 1:00:00,5/1/2013 2:00:00,5/1/2013 6:00:00,5/1/2013,6,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-1.0000,-$25.67,$23.69,,24.32,97.41%,,$0.76,,,$0.76,$0,1,0.97
5/1/2013 2:00:00,5/1/2013 3:00:00,5/1/2013 7:00:00,5/1/2013,7,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-2.0000,-$50.38,$684.52,,694.72,98.53%,,$21.71,,,$17.4,$4.31,1,0.99
5/1/2013 3:00:00,5/1/2013 4:00:00,5/1/2013 8:00:00,5/1/2013,8,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,2.0000,$49.4,$41.16,,43.84,93.89%,,$1.37,,,$1.37,$0,1,0.94
5/1/2013 4:00:00,5/1/2013 5:00:00,5/1/2013 9:00:00,5/1/2013,9,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-3.0000,-$79.53,$49.73,,51.20,97.13%,,$1.6,,,$1.6,$0,1,0.97
5/1/2013 5:00:00,5/1/2013 6:00:00,5/1/2013 10:00:00,5/1/2013,10,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-1.0000,-$29.1,$311.36,,320.64,97.11%,,$10.02,,,$8.24,$1.78,1,0.97
5/1/2013 6:00:00,5/1/2013 7:00:00,5/1/2013 11:00:00,5/1/2013,11,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-2.0000,-$63.68,$301.09,,310.72,96.90%,,$9.71,,,$7.14,$2.57,1,0.97
5/1/2013 7:00:00,5/1/2013 8:00:00,5/1/2013 12:00:00,5/1/2013,12,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,0.0000,$0,$1226.01,,"1,256.64",97.56%,,$39.27,,,$36.52,$2.75,1,0.98
5/1/2013 8:00:00,5/1/2013 9:00:00,5/1/2013 13:00:00,5/1/2013,13,LMsched:32000,32,32,0,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,0,,32,-1.0000,-$37.74,$481.9,,496.96,96.97%,,$15.53,,,$12.84,$2.69,1,0.97
