,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
4/1/2014 0:00:00,4/1/2014 1:00:00,4/1/2014 5:00:00,4/1/2014,5,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-26.42,396.8312511,,430.4600142,0.921877150047262,,41.60741915,,,18.68,1.37,2.075183,0.970397
4/1/2014 1:00:00,4/1/2014 2:00:00,4/1/2014 6:00:00,4/1/2014,6,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-29.12,321.0205294,,352.8595978,0.909768450118661,,32.43874788,,,14.33,1.63,2.032503,0.957651
4/1/2014 2:00:00,4/1/2014 3:00:00,4/1/2014 7:00:00,4/1/2014,7,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-26.04,279.4639132,,305.796158,0.913889549913835,,27.76854235,,,13.23,1.06,1.943215,0.961989
4/1/2014 3:00:00,4/1/2014 4:00:00,4/1/2014 8:00:00,4/1/2014,8,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,277.7193284,,305.389075,0.909395100004805,,27.19791393,,,12.86,1.25,1.927563,0.957258
4/1/2014 4:00:00,4/1/2014 5:00:00,4/1/2014 9:00:00,4/1/2014,9,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-61.66,590.7213046,,641.0907816,0.921431599945502,,55.76775406,,,29.38,1.48,1.807121,0.969928
4/1/2014 5:00:00,4/1/2014 6:00:00,4/1/2014 10:00:00,4/1/2014,10,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,921.5252398,,1019.605926,0.903805299970373,,85.9696443,,,27.6,10.31,2.26773,0.951374
4/1/2014 6:00:00,4/1/2014 7:00:00,4/1/2014 11:00:00,4/1/2014,11,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-193.82,2591.906793,,2868.5129024,0.903571600055007,,443.44199188,,,133.83,2.96,3.241772,0.951128
4/1/2014 7:00:00,4/1/2014 8:00:00,4/1/2014 12:00:00,4/1/2014,12,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-153.42,2898.579088,,3288.2871516,0.881485999964943,,957.47786346,,,139.08,3.78,6.702211,0.92788
4/1/2014 8:00:00,4/1/2014 9:00:00,4/1/2014 13:00:00,4/1/2014,13,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,1322.769139,,1429.2327582,0.925509950293833,,175.89916334,,,49.73,7.01,3.100091,0.974221
4/1/2014 9:00:00,4/1/2014 10:00:00,4/1/2014 14:00:00,4/1/2014,14,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-80.6,851.6579321,,917.641,0.928094899966327,,118.1313305,,,43.21,1,2.67205,0.976942
4/1/2014 10:00:00,4/1/2014 11:00:00,4/1/2014 15:00:00,4/1/2014,15,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-39.85,814.3850413,,893.02838,0.911936349995954,,98.25301462,,,35.93,3.5,2.491834,0.959933
4/1/2014 11:00:00,4/1/2014 12:00:00,4/1/2014 16:00:00,4/1/2014,16,TAITsched:0,0,0,0,TAITbid:0,TAITUnscheduled:0,TAITPlanned:20000,TAITSettled:0,20,Breaker work,0,0.0000,0,0,,1008.6248328,0,,120.61759978,,,36.91,4.66,2.901554,0.959933
4/1/2014 12:00:00,4/1/2014 13:00:00,4/1/2014 17:00:00,4/1/2014,17,TAITsched:0,0,0,0,TAITbid:0,TAITUnscheduled:0,TAITPlanned:20000,TAITSettled:0,20,Breaker work,0,0.0000,0,0,,761.037425,0,,109.78481825,,,34.84,1.05,3.058925,0.959933
4/1/2014 13:00:00,4/1/2014 14:00:00,4/1/2014 18:00:00,4/1/2014,18,TAITsched:0,0,0,0,TAITbid:0,TAITUnscheduled:0,TAITPlanned:20000,TAITSettled:0,20,Breaker work,0,-1.0000,-36.98,0,,708.2090354,0,,79.76135837,,,28.6,2.67,2.550731,0.959933
4/1/2014 14:00:00,4/1/2014 15:00:00,4/1/2014 19:00:00,4/1/2014,19,TAITsched:0,0,0,0,TAITbid:0,TAITUnscheduled:0,TAITPlanned:20000,TAITSettled:0,20,Breaker work,0,-1.0000,-35.68,0,,1007.3245504,0,,109.13904792,,,26.3,7.44,3.234708,0.959933
4/1/2014 15:00:00,4/1/2014 16:00:00,4/1/2014 20:00:00,4/1/2014,20,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-36.02,0,,600.6161354,0,,70.94997909,,,27.04,1.19,2.513283,0.959933
4/1/2014 16:00:00,4/1/2014 17:00:00,4/1/2014 21:00:00,4/1/2014,21,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-37.7,483.4568562,,623.2930592,0.775649349955091,,57.26242116,,,24.85,3.08,2.050212,0.816473
4/1/2014 17:00:00,4/1/2014 18:00:00,4/1/2014 22:00:00,4/1/2014,22,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-3.0000,-104.19,894.1541032,,974.7885114,0.917280099983747,,90.57194685,,,25.92,8.73,2.613909,0.965558
4/1/2014 18:00:00,4/1/2014 19:00:00,4/1/2014 23:00:00,4/1/2014,23,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,2.0000,69.48,602.6530978,,647.834327,0.930258050064704,,69.29791101,,,23.86,3.35,2.546781,0.979219
