Date,Time,Stored Energy (KW),Nameplate Capacity (KW),Array Power (KW),Frequency (Hz)
2017-04-12,00:00:00, 7276.8, 10504.2, 2781.85, 49.95
2017-04-12,00:00:02, 7274.8, 10504.2, 2772.69, 49.95
2017-04-12,00:00:04, 7273.1, 10504.2, 2948.04, 49.95
2017-04-12,00:00:06, 7271.8, 10504.2, 2749.67, 49.95
2017-04-12,00:00:08, 7270.5, 10504.2, 2758.44, 49.95
2017-04-12,00:00:10, 7269.0, 10504.2, 2976.48, 49.95
2017-04-12,00:00:12, 7268.0, 10504.2, 2828.69, 49.95
2017-04-12,00:00:14, 7266.1, 10504.2, 2788.32, 49.95
2017-04-12,00:00:16, 7264.7, 10504.2, 2785.06, 49.95
2017-04-12,00:00:18, 7264.4, 10504.2, 2783.93, 49.95
2017-04-12,00:00:20, 7263.0, 10504.2, 2782.4, 49.95
2017-04-12,00:00:22, 7261.1, 10504.2, 2782.57, 49.95
2017-04-12,00:00:24, 7259.6, 10504.2, 3166.96, 49.94
2017-04-12,00:00:26, 7258.4, 10504.2, 3165.22, 49.95
2017-04-12,00:00:28, 7256.9, 10504.2, 3122.19, 49.95
2017-04-12,00:00:30, 7254.9, 10504.2, 3124.94, 49.95
2017-04-12,00:00:32, 7253.1, 10504.2, 2980.85, 49.95
2017-04-12,00:00:34, 7252.2, 10504.2, 2929.37, 49.95
2017-04-12,00:00:36, 7251.0, 10504.2, 2816.16, 49.96
2017-04-12,00:00:38, 7249.9, 10504.2, 2690.3, 49.96
2017-04-12,00:00:40, 7247.9, 10504.2, 2638.0, 49.96
2017-04-12,00:00:42, 7246.9, 10504.2, 2585.35, 49.96
2017-04-12,00:00:44, 7245.9, 10504.2, 2638.58, 49.96
2017-04-12,00:00:46, 7244.5, 10504.2, 2640.15, 49.96
2017-04-12,00:00:48, 7243.8, 10504.2, 2639.75, 49.96
2017-04-12,00:00:50, 7241.4, 10504.2, 2530.98, 49.96
2017-04-12,00:00:52, 7240.4, 10504.2, 2632.75, 49.95
2017-04-12,00:00:54, 7239.7, 10504.2, 2739.49, 49.95
2017-04-12,00:00:56, 7238.3, 10504.2, 2739.37, 49.96
2017-04-12,00:00:58, 7237.0, 10504.2, 2596.18, 49.96
2017-04-12,00:01:00, 7235.2, 10504.2, 2406.32, 49.96
2017-04-12,00:01:02, 7234.3, 10504.2, 2215.03, 49.96
2017-04-12,00:01:04, 7233.6, 10504.2, 2285.77, 49.97
2017-04-12,00:01:06, 7232.1, 10504.2, 2083.12, 49.97
2017-04-12,00:01:08, 7230.7, 10504.2, 2132.41, 49.97
2017-04-12,00:01:10, 7229.7, 10504.2, 2069.9, 49.97
2017-04-12,00:01:12, 7229.1, 10504.2, 1902.57, 49.97
2017-04-12,00:01:14, 7227.7, 10504.2, 2068.64, 49.97
2017-04-12,00:01:16, 7226.6, 10504.2, 2071.25, 49.97
2017-04-12,00:01:18, 7224.9, 10504.2, 2080.4, 49.97
2017-04-12,00:01:20, 7224.2, 10504.2, 2074.69, 49.97
2017-04-12,00:01:22, 7223.6, 10504.2, 1940.21, 49.97
2017-04-12,00:01:24, 7222.2, 10504.2, 2008.95, 49.97
2017-04-12,00:01:26, 7221.0, 10504.2, 1994.07, 49.97
